Designator,Mid X,Mid Y,Rotation,Layer
C1,192.8,-106.0,180.0,top
C2,180.0,-127.4,270.0,top
D1,153.8,-105.05,90.0,top
D2,162.0,-105.05,90.0,top
D3,170.6,-105.45,90.0,top
D4,179.4,-105.25,90.0,top
D5,145.0,-94.0,270.0,top
J1,144.8,-52.9,90.0,top
J2,147.4,-135.5,270.0,top
J3,136.6,-135.5,270.0,top
J4,158.0,-53.1,90.0,top
J5,171.0,-53.1,90.0,top
J6,173.938,-135.4,270.0,top
J7,161.8,-135.4,270.0,top
J8,184.2,-53.1,90.0,top
N1,196.95,-90.4668,90.0,bottom
R1,125.6,-87.2,90.0,top
R10,192.8,-109.2,180.0,top
R13,133.4,-127.6,270.0,top
R14,158.0,-111.8,0.0,top
R15,162.84,-111.8,180.0,top
R16,151.0,-129.2,270.0,top
R17,177.6,-53.4,270.0,top
R18,192.6,-59.2,180.0,top
R19,164.4,-128.8,270.0,top
R20,167.6,-128.6,270.0,top
R21,170.72,-128.6,270.0,top
R22,174.2,-128.4,270.0,top
R23,168.24,-111.8,180.0,top
R24,154.6,-129.64,270.0,top
SW1,148.65,-67.5,180.0,top
SW10,153.7551,-95.55,90.0,top
SW11,162.3051,-95.55,90.0,top
SW12,170.8551,-95.55,90.0,top
SW13,179.4051,-95.55,90.0,top
SW2,166.2,-67.5,180.0,top
SW3,183.75,-82.0,180.0,top
SW4,183.6969,-67.5,180.0,top
SW5,148.65,-82.0,180.0,top
SW6,166.2,-82.0,180.0,top
U1,192.5,-99.6375,0.0,bottom
U10,125.6,-80.2,90.0,bottom
U2,156.39,-120.61,90.0,bottom
U3,201.19,-109.0,0.0,top
U4,179.19,-117.61,90.0,top
U5,137.6,-114.6,180.0,top
U6,139.525,-122.475,180.0,bottom
U7,140.125,-102.8625,0.0,top
U8,196.86,-129.56,180.0,top
U9,146.525,-111.505,270.0,top
